0;m;uiopasdfgh;1364-1-7;
1;iopas;cvbnm;612-4-25;
2;jklzx;cvbnm;1427-2-24;
3;hjklz;rtyuiopasd;1961-7-21;
4;qwert;jklzxcvbnm;1630-5-28;
5;tyuio;lzxcvbnm;1266-9-13;
6;xcvbn;iopasdfghj;1135-11-17;
7;tyuio;klzxcvbnm;104-10-15;
8;bnm;tyuiopasdf;568-2-11;
9;werty;wertyuiopa;947-8-20;
10;opasd;ghjklzxcvb;113-2-14;
11;nm;dfghjklzxc;1709-1-21;
12;zxcvb;qwertyuiop;1496-7-12;
13;ghjkl;pasdfghjkl;1233-8-8;
14;qwert;dfghjklzxc;1929-2-7;
15;yuiop;lzxcvbnm;1020-11-2;
16;yuiop;wertyuiopa;761-12-9;
17;fghjk;cvbnm;953-9-22;
18;qwert;vbnm;302-1-8;
19;fghjk;xcvbnm;326-7-21;
20;xcvbn;fghjklzxcv;1989-7-6;
21;sdfgh;iopasdfghj;1407-3-8;
22;hjklz;yuiopasdfg;1397-2-23;
23;rtyui;xcvbnm;56-2-29;
24;lzxcv;sdfghjklzx;623-8-10;
25;uiopa;ertyuiopas;1908-7-29;
26;vbnm;lzxcvbnm;179-1-12;
27;ertyu;klzxcvbnm;1186-11-23;
28;pasdf;sdfghjklzx;1830-7-9;
29;sdfgh;m;1972-3-17;
30;tyuio;pasdfghjkl;906-10-27;
31;vbnm;klzxcvbnm;412-11-17;
32;iopas;sdfghjklzx;120-3-10;
33;ertyu;xcvbnm;857-1-6;
34;zxcvb;ertyuiopas;95-5-20;
35;nm;bnm;943-5-10;
36;jklzx;nm;10-3-26;
37;bnm;hjklzxcvbn;132-11-28;
38;hjklz;pasdfghjkl;1462-2-24;
39;xcvbn;jklzxcvbnm;317-12-7;
40;nm;klzxcvbnm;310-2-22;
41;klzxc;ertyuiopas;654-7-5;
42;werty;bnm;1591-7-24;
43;ghjkl;qwertyuiop;1312-6-21;
44;bnm;iopasdfghj;757-11-28;
45;tyuio;asdfghjklz;406-5-2;
46;opasd;nm;631-2-2;
47;ghjkl;hjklzxcvbn;1161-11-25;
48;bnm;bnm;2015-4-30;
49;cvbnm;opasdfghjk;119-1-30;
50;opasd;wertyuiopa;1895-11-13;
51;vbnm;fghjklzxcv;1081-5-24;
52;uiopa;uiopasdfgh;1168-1-15;
53;uiopa;pasdfghjkl;1726-6-20;
54;iopas;nm;1025-7-15;
55;zxcvb;tyuiopasdf;828-1-7;
56;werty;klzxcvbnm;1112-5-1;
57;yuiop;jklzxcvbnm;1707-9-23;
58;uiopa;xcvbnm;68-8-29;
59;asdfg;nm;1582-6-26;
60;cvbnm;tyuiopasdf;424-9-31;
61;cvbnm;opasdfghjk;1511-3-14;
62;lzxcv;uiopasdfgh;353-8-28;
63;yuiop;wertyuiopa;188-11-26;
64;jklzx;jklzxcvbnm;851-11-4;
65;zxcvb;vbnm;357-3-14;
66;ertyu;ghjklzxcvb;360-5-25;
67;klzxc;qwertyuiop;1453-12-22;
68;werty;iopasdfghj;1581-6-14;
69;fghjk;xcvbnm;206-5-6;
70;asdfg;fghjklzxcv;1077-11-1;
71;m;uiopasdfgh;1914-2-13;
72;iopas;opasdfghjk;1478-2-28;
73;rtyui;pasdfghjkl;1502-9-17;
74;m;m;749-2-28;
75;ertyu;pasdfghjkl;205-4-2;
76;zxcvb;wertyuiopa;1574-4-12;
77;bnm;m;16-8-25;
78;bnm;wertyuiopa;1128-3-11;
79;dfghj;qwertyuiop;639-7-11;
80;fghjk;m;1402-3-4;
81;sdfgh;yuiopasdfg;792-8-6;
82;klzxc;opasdfghjk;1166-11-19;
83;klzxc;vbnm;203-1-11;
84;cvbnm;qwertyuiop;1141-8-14;
85;opasd;ghjklzxcvb;1759-3-7;
86;yuiop;lzxcvbnm;540-8-31;
87;werty;uiopasdfgh;532-7-31;
88;klzxc;klzxcvbnm;1984-5-9;
89;vbnm;ertyuiopas;326-1-28;
90;sdfgh;fghjklzxcv;1776-6-31;
91;m;nm;946-11-15;
92;jklzx;zxcvbnm;412-1-9;
93;uiopa;vbnm;582-10-11;
94;pasdf;iopasdfghj;857-2-24;
95;nm;bnm;303-12-15;
96;qwert;vbnm;216-2-16;
97;ghjkl;uiopasdfgh;200-2-11;
98;fghjk;jklzxcvbnm;1985-5-1;
99;xcvbn;klzxcvbnm;1552-12-24;
100;werty;rtyuiopasd;879-11-26;
101;klzxc;m;448-10-26;
102;ghjkl;vbnm;973-7-5;
103;rtyui;rtyuiopasd;1633-12-22;
104;xcvbn;asdfghjklz;2-12-5;
105;pasdf;opasdfghjk;1897-10-8;
106;xcvbn;opasdfghjk;893-11-5;
107;cvbnm;asdfghjklz;1922-3-30;
108;fghjk;tyuiopasdf;1310-3-11;
109;opasd;hjklzxcvbn;958-9-16;
110;m;vbnm;867-11-21;
111;vbnm;nm;458-6-22;
112;nm;yuiopasdfg;783-12-29;
113;opasd;uiopasdfgh;1380-6-30;
114;hjklz;lzxcvbnm;1769-9-5;
115;jklzx;asdfghjklz;1947-1-18;
116;qwert;nm;1974-9-16;
117;ertyu;pasdfghjkl;901-3-12;
118;uiopa;zxcvbnm;311-3-9;
119;tyuio;uiopasdfgh;1057-4-5;
120;asdfg;hjklzxcvbn;587-4-11;
121;ertyu;hjklzxcvbn;851-4-16;
122;yuiop;qwertyuiop;1693-3-18;
123;m;wertyuiopa;275-2-7;
124;klzxc;lzxcvbnm;1161-8-12;
125;vbnm;iopasdfghj;539-3-7;
126;lzxcv;xcvbnm;36-4-10;
127;bnm;wertyuiopa;653-7-18;
128;dfghj;tyuiopasdf;1047-6-15;
129;qwert;uiopasdfgh;1110-9-13;
130;werty;hjklzxcvbn;2010-4-11;
131;nm;sdfghjklzx;677-8-11;
132;lzxcv;wertyuiopa;1722-6-2;
133;xcvbn;m;1382-7-10;
134;bnm;hjklzxcvbn;497-5-29;
135;bnm;fghjklzxcv;1660-1-12;
136;ertyu;bnm;929-5-16;
137;qwert;uiopasdfgh;1509-2-22;
138;m;iopasdfghj;553-6-22;
139;fghjk;pasdfghjkl;92-6-5;
140;ertyu;rtyuiopasd;1279-1-20;
141;zxcvb;m;246-9-4;
142;sdfgh;nm;574-6-1;
143;hjklz;m;1473-10-20;
144;iopas;pasdfghjkl;1930-11-17;
145;sdfgh;opasdfghjk;1736-1-15;
146;klzxc;wertyuiopa;1372-4-19;
147;ghjkl;sdfghjklzx;1866-8-20;
148;rtyui;jklzxcvbnm;1636-10-10;
149;werty;tyuiopasdf;773-1-31;
150;xcvbn;asdfghjklz;882-10-4;
151;jklzx;asdfghjklz;366-8-9;
152;bnm;nm;1367-3-27;
153;lzxcv;fghjklzxcv;1561-9-11;
154;nm;asdfghjklz;1901-5-23;
155;klzxc;ertyuiopas;1918-5-22;
156;qwert;sdfghjklzx;2012-3-17;
157;zxcvb;tyuiopasdf;1957-1-12;
158;iopas;rtyuiopasd;1407-3-1;
159;jklzx;dfghjklzxc;286-3-19;
160;hjklz;bnm;401-3-9;
161;tyuio;zxcvbnm;1796-3-15;
162;yuiop;zxcvbnm;1188-12-24;
163;uiopa;m;538-3-3;
164;dfghj;bnm;915-4-3;
165;ertyu;hjklzxcvbn;1931-6-16;
166;qwert;opasdfghjk;61-7-30;
167;klzxc;rtyuiopasd;867-6-24;
168;pasdf;cvbnm;645-7-12;
169;m;asdfghjklz;888-3-28;
170;fghjk;sdfghjklzx;1668-5-26;
171;pasdf;iopasdfghj;1296-8-27;
172;pasdf;sdfghjklzx;1988-2-14;
173;ertyu;fghjklzxcv;1518-4-13;
174;tyuio;wertyuiopa;874-10-23;
175;bnm;sdfghjklzx;1083-9-17;
176;iopas;hjklzxcvbn;1568-4-29;
177;werty;bnm;475-6-21;
178;fghjk;wertyuiopa;114-7-19;
179;iopas;uiopasdfgh;1021-5-30;
180;jklzx;asdfghjklz;1300-11-2;
181;klzxc;asdfghjklz;762-11-2;
182;nm;qwertyuiop;1892-1-14;
183;zxcvb;iopasdfghj;24-12-7;
184;zxcvb;sdfghjklzx;534-3-12;
185;cvbnm;asdfghjklz;1717-11-11;
186;asdfg;pasdfghjkl;384-5-21;
187;xcvbn;fghjklzxcv;817-3-26;
188;asdfg;xcvbnm;595-4-9;
189;ertyu;wertyuiopa;1942-7-13;
190;ghjkl;asdfghjklz;1273-5-29;
191;lzxcv;hjklzxcvbn;1593-11-11;
192;bnm;zxcvbnm;1914-5-19;
193;lzxcv;vbnm;1830-10-30;
194;tyuio;fghjklzxcv;926-6-17;
195;cvbnm;klzxcvbnm;1109-12-28;
196;cvbnm;ghjklzxcvb;1542-11-12;
197;qwert;xcvbnm;1716-4-15;
198;m;ertyuiopas;908-9-30;
199;cvbnm;dfghjklzxc;1998-10-3;
200;vbnm;xcvbnm;751-7-6;
201;vbnm;yuiopasdfg;969-11-25;
202;jklzx;qwertyuiop;768-9-7;
203;cvbnm;fghjklzxcv;1240-1-21;
204;tyuio;jklzxcvbnm;1301-10-31;
205;rtyui;hjklzxcvbn;1734-9-16;
206;yuiop;m;1281-12-9;
207;vbnm;vbnm;1000-1-7;
208;nm;uiopasdfgh;777-10-22;
209;ertyu;nm;1089-4-20;
210;qwert;uiopasdfgh;450-10-27;
211;jklzx;iopasdfghj;409-4-2;
212;bnm;hjklzxcvbn;324-4-8;
213;jklzx;fghjklzxcv;1681-9-19;
214;m;ghjklzxcvb;1402-9-12;
215;nm;wertyuiopa;1680-9-18;
216;hjklz;cvbnm;1504-9-1;
217;klzxc;wertyuiopa;1108-10-22;
218;qwert;cvbnm;913-6-25;
219;nm;hjklzxcvbn;336-10-14;
220;hjklz;ghjklzxcvb;1989-6-31;
221;nm;dfghjklzxc;912-7-25;
222;m;rtyuiopasd;827-5-18;
223;dfghj;iopasdfghj;693-4-13;
224;werty;iopasdfghj;1582-7-1;
225;jklzx;vbnm;858-8-6;
226;ghjkl;uiopasdfgh;1958-5-14;
227;vbnm;m;430-9-20;
228;dfghj;cvbnm;1820-4-21;
229;klzxc;klzxcvbnm;511-6-30;
230;iopas;sdfghjklzx;779-11-18;
231;bnm;pasdfghjkl;1420-6-5;
232;werty;qwertyuiop;41-1-2;
233;ertyu;yuiopasdfg;1673-4-13;
234;bnm;fghjklzxcv;406-6-7;
235;asdfg;xcvbnm;1936-7-16;
236;opasd;qwertyuiop;1476-5-16;
237;jklzx;uiopasdfgh;267-5-15;
238;asdfg;dfghjklzxc;1447-11-21;
239;bnm;dfghjklzxc;1778-9-9;
240;iopas;zxcvbnm;1967-6-12;
241;asdfg;opasdfghjk;1702-2-8;
242;opasd;cvbnm;1031-1-11;
243;werty;yuiopasdfg;1057-3-15;
244;dfghj;xcvbnm;880-3-8;
245;bnm;rtyuiopasd;608-6-23;
246;hjklz;dfghjklzxc;1534-2-18;
247;tyuio;hjklzxcvbn;94-1-7;
248;klzxc;cvbnm;1910-3-8;
249;uiopa;pasdfghjkl;1829-6-28;
250;jklzx;lzxcvbnm;1060-3-26;
251;klzxc;zxcvbnm;1970-5-14;
252;klzxc;fghjklzxcv;228-2-8;
253;yuiop;opasdfghjk;1803-5-8;
254;ghjkl;opasdfghjk;1046-11-29;
255;bnm;hjklzxcvbn;281-7-4;
